#	X	Y	Z
338	3	5	25	27
339	55	49	43	37
340	55	49	37	31
341	55	49	31	25
342	55	49	25	19
343	55	49	19	13
344	55	49	13	7
345	55	49	7	1
346	2	9	16	23
347	2	9	23	30
348	2	9	30	37
349	2	9	37	44
350	2	9	44	51
351	2	9	51	58
352	2	9	58	65
353	2	9	65	72
354	3	7	11	15
355	3	7	15	19
356	3	7	19	23
357	3	7	23	27
358	3	7	27	31
359	3	7	31	35
360	3	7	35	39
361	3	7	39	43
362	3	7	43	47
363	3	7	47	51
364	3	8	13	18
365	3	8	18	23
366	3	8	23	28
367	3	8	28	33
368	3	8	33	38
369	3	8	38	43
370	3	8	43	48
371	3	8	48	53
372	3	8	53	58
373	3	8	58	63
374	3	9	15	21
375	3	9	21	27
376	3	9	27	33
377	3	9	33	39
378	3	9	39	45
379	3	9	45	51
380	3	9	51	57
381	3	9	57	63
382	3	9	63	69
383	50	46	42	38
384	50	46	38	34
385	50	46	34	30
386	50	46	30	26
387	50	46	26	22
388	50	46	22	18
389	50	46	18	14
390	50	46	14	10
391	50	46	10	6
392	50	46	6	2
393	46	42	38	34
394	46	42	34	30
395	46	42	30	26
396	46	42	26	22
397	46	42	22	18
398	46	42	18	14
399	46	42	14	10
400	46	42	10	6
401	46	42	6	2
402	26	24	22	20
403	26	24	20	18
404	26	24	18	16
405	26	24	16	14
406	26	24	14	12
407	26	24	12	10
408	26	24	10	8
409	26	24	8	6
410	26	24	6	4
411	26	24	4	2
412	14	13	12	11
413	14	13	11	10
414	14	13	10	9
415	14	13	9	8
416	14	13	8	7
417	14	13	7	6
418	14	13	6	5
419	14	13	5	4
420	14	13	4	3
421	14	13	3	2
422	47	42	37	32
423	47	42	32	27
424	47	42	27	22
425	47	42	22	17
426	47	42	17	12
427	47	42	12	7
428	47	42	7	2
429	72	65	58	51
430	72	65	51	44
431	72	65	44	37
432	72	65	37	30
433	72	65	30	23
434	72	65	23	16
435	72	65	16	9
436	72	65	9	2
437	65	58	51	44
438	65	58	44	37
439	65	58	37	30
440	65	58	30	23
441	65	58	23	16
442	65	58	16	9
443	65	58	9	2
444	24	22	20	18
445	24	22	18	16
446	24	22	16	14
447	24	22	14	12
448	24	22	12	10
449	24	22	10	8
450	24	22	8	6
451	24	22	6	4
452	24	22	4	2
453	22	20	18	16
454	22	20	16	14
455	22	20	14	12
456	22	20	12	10
457	22	20	10	8
458	22	20	8	6
459	22	20	6	4
460	22	20	4	2
461	20	18	16	14
462	20	18	14	12
463	20	18	12	10
464	20	18	10	8
465	20	18	8	6
466	20	18	6	4
467	20	18	4	2
468	3	4	5	6
469	3	4	6	7
470	3	4	7	8
471	3	4	8	9
472	3	4	9	10
473	3	4	10	11
474	3	4	11	12
475	3	4	12	13
476	3	4	13	14
477	3	4	14	15
478	3	10	17	24
479	3	10	24	31
480	3	10	31	38
481	3	10	38	45
482	3	10	45	52
483	3	10	52	59
484	3	10	59	66
485	62	57	52	47
486	62	57	47	42
487	62	57	42	37
488	62	57	37	32
489	62	57	32	27
490	62	57	27	22
491	62	57	22	17
492	62	57	17	12
493	62	57	12	7
494	62	57	7	2
495	38	35	32	29
496	38	35	29	26
497	38	35	26	23
498	38	35	23	20
499	38	35	20	17
500	38	35	17	14
501	38	35	14	11
502	38	35	11	8
503	38	35	8	5
504	38	35	5	2
505	35	32	29	26
506	35	32	26	23
507	35	32	23	20
508	35	32	20	17
509	35	32	17	14
510	35	32	14	11
511	35	32	11	8
512	35	32	8	5
513	35	32	5	2
514	32	29	26	23
515	32	29	23	20
516	32	29	20	17
517	32	29	17	14
518	32	29	14	11
519	32	29	11	8
520	32	29	8	5
521	32	29	5	2
522	29	26	23	20
523	29	26	20	17
524	29	26	17	14
525	29	26	14	11
526	29	26	11	8
527	29	26	8	5
528	29	26	5	2
529	3	6	9	12
530	3	6	12	15
531	3	6	15	18
532	3	6	18	21
533	3	6	21	24
534	3	6	24	27
535	3	6	27	30
536	3	6	30	33
537	3	6	33	36
538	3	6	36	39
539	4	7	10	13
540	4	7	13	16
541	4	7	16	19
542	4	7	19	22
543	4	7	22	25
544	4	7	25	28
545	4	7	28	31
546	4	7	31	34
547	4	7	34	37
548	4	7	37	40
549	4	8	12	16
550	4	8	16	20
551	4	8	20	24
552	4	8	24	28
553	4	8	28	32
554	4	8	32	36
555	4	8	36	40
556	4	8	40	44
557	4	8	44	48
558	4	8	48	52
559	4	9	14	19
560	4	9	19	24
561	4	9	24	29
562	4	9	29	34
563	4	9	34	39
564	4	9	39	44
565	4	9	44	49
566	4	9	49	54
567	4	9	54	59
568	4	9	59	64
569	42	38	34	30
570	42	38	30	26
571	42	38	26	22
572	42	38	22	18
