A,B,M,N
35,44,42,38
35,44,38,41
35,44,41,39
35,44,39,40
36,45,37,44
36,45,44,38
36,45,38,43
36,45,43,39
36,45,39,42
36,45,42,40
36,45,40,41
37,46,38,45
37,46,45,39
37,46,39,44
37,46,44,40
37,46,40,43
37,46,43,41
37,46,41,42
38,47,39,46
38,47,46,40
38,47,40,45
38,47,45,41
38,47,41,44
38,47,44,42
38,47,42,43
39,48,40,47
39,48,47,41
39,48,41,46
39,48,46,42
39,48,42,45
39,48,45,43
39,48,43,44
40,49,41,48
40,49,48,42
40,49,42,47
40,49,47,43
40,49,43,46
40,49,46,44
40,49,44,45
41,50,42,49
41,50,49,43
41,50,43,48
41,50,48,44
41,50,44,47
41,50,47,45
41,50,45,46
42,51,43,50
42,51,50,44
42,51,44,49
42,51,49,45
42,51,45,48
42,51,48,46
42,51,46,47
43,52,44,51
43,52,51,45
43,52,45,50
43,52,50,46
43,52,46,49
43,52,49,47
43,52,47,48
44,53,45,52
44,53,52,46
44,53,46,51
44,53,51,47
44,53,47,50
44,53,50,48
44,53,48,49
45,54,46,53
45,54,53,47
45,54,47,52
45,54,52,48
45,54,48,51
45,54,51,49
45,54,49,50
46,55,47,54
46,55,54,48
46,55,48,53
46,55,53,49
46,55,49,52
46,55,52,50
46,55,50,51
47,56,48,55
47,56,55,49
47,56,49,54
47,56,54,50
47,56,50,53
47,56,53,51
47,56,51,52
48,57,49,56
48,57,56,50
48,57,50,55
48,57,55,51
48,57,51,54
48,57,54,52
48,57,52,53
49,58,50,57
49,58,57,51
49,58,51,56
49,58,56,52
49,58,52,55
49,58,55,53
49,58,53,54
50,59,51,58
50,59,58,52
50,59,52,57
50,59,57,53
50,59,53,56
50,59,56,54
50,59,54,55
51,60,52,59
51,60,59,53
51,60,53,58
51,60,58,54
51,60,54,57
51,60,57,55
51,60,55,56
52,61,53,60
52,61,60,54
52,61,54,59
52,61,59,55
52,61,55,58
52,61,58,56
52,61,56,57
53,62,54,61
53,62,61,55
53,62,55,60
53,62,60,56
53,62,56,59
53,62,59,57
53,62,57,58
54,63,55,62
54,63,62,56
54,63,56,61
54,63,61,57
54,63,57,60
54,63,60,58
54,63,58,59
55,64,56,63
55,64,63,57
55,64,57,62
55,64,62,58
55,64,58,61
55,64,61,59
55,64,59,60
56,65,57,64
56,65,64,58
56,65,58,63
56,65,63,59
56,65,59,62
56,65,62,60
56,65,60,61
57,66,58,65
57,66,65,59
57,66,59,64
57,66,64,60
57,66,60,63
57,66,63,61
57,66,61,62
58,67,59,66
58,67,66,60
58,67,60,65
58,67,65,61
58,67,61,64
58,67,64,62
58,67,62,63
59,68,60,67
59,68,67,61
59,68,61,66
59,68,66,62
59,68,62,65
59,68,65,63
59,68,63,64
60,69,61,68
60,69,68,62
60,69,62,67
60,69,67,63
60,69,63,66
60,69,66,64
60,69,64,65
61,70,62,69
61,70,69,63
61,70,63,68
61,70,68,64
61,70,64,67
61,70,67,65
61,70,65,66
62,71,63,70
62,71,70,64
62,71,64,69
62,71,69,65
62,71,65,68
62,71,68,66
62,71,66,67
63,72,64,71
63,72,71,65
63,72,65,70
63,72,70,66
63,72,66,69
63,72,69,67
63,72,67,68
1,13,2,12
1,13,12,3
1,13,3,11
1,13,11,4
1,13,4,10
1,13,10,5
1,13,5,9
1,13,9,6
1,13,6,8
2,14,3,13
2,14,13,4
2,14,4,12
2,14,12,5
2,14,5,11
2,14,11,6
2,14,6,10
2,14,10,7
2,14,7,9
3,15,4,14
3,15,14,5
3,15,5,13
3,15,13,6
3,15,6,12
3,15,12,7
3,15,7,11
3,15,11,8
3,15,8,10
4,16,5,15
4,16,15,6
4,16,6,14
4,16,14,7
4,16,7,13
4,16,13,8
4,16,8,12
4,16,12,9
4,16,9,11
5,17,6,16
5,17,16,7
5,17,7,15
5,17,15,8
5,17,8,14
5,17,14,9
5,17,9,13
5,17,13,10
5,17,10,12
6,18,7,17
6,18,17,8
6,18,8,16
6,18,16,9
6,18,9,15
6,18,15,10
6,18,10,14
6,18,14,11
6,18,11,13
7,19,8,18
7,19,18,9
7,19,9,17
7,19,17,10
7,19,10,16
7,19,16,11
7,19,11,15
7,19,15,12
7,19,12,14
8,20,9,19
8,20,19,10
8,20,10,18
8,20,18,11
8,20,11,17
8,20,17,12
8,20,12,16
8,20,16,13
8,20,13,15
9,21,10,20
9,21,20,11
9,21,11,19
9,21,19,12
9,21,12,18
9,21,18,13
9,21,13,17
9,21,17,14
9,21,14,16
10,22,11,21
10,22,21,12
10,22,12,20
10,22,20,13
10,22,13,19
10,22,19,14
10,22,14,18
10,22,18,15
10,22,15,17
11,23,12,22
11,23,22,13
11,23,13,21
11,23,21,14
11,23,14,20
11,23,20,15
11,23,15,19
11,23,19,16
11,23,16,18
12,24,13,23
12,24,23,14
12,24,14,22
12,24,22,15
12,24,15,21
12,24,21,16
12,24,16,20
12,24,20,17
12,24,17,19
13,25,14,24
13,25,24,15
13,25,15,23
13,25,23,16
13,25,16,22
13,25,22,17
13,25,17,21
13,25,21,18
13,25,18,20
14,26,15,25
14,26,25,16
14,26,16,24
14,26,24,17
14,26,17,23
14,26,23,18
14,26,18,22
14,26,22,19
14,26,19,21
15,27,16,26
15,27,26,17
15,27,17,25
15,27,25,18
15,27,18,24
15,27,24,19
15,27,19,23
15,27,23,20
15,27,20,22
16,28,17,27
16,28,27,18
16,28,18,26
16,28,26,19
16,28,19,25
16,28,25,20
16,28,20,24
16,28,24,21
16,28,21,23
17,29,18,28
17,29,28,19
17,29,19,27
17,29,27,20
17,29,20,26
17,29,26,21
17,29,21,25
17,29,25,22
17,29,22,24
18,30,19,29
18,30,29,20
18,30,20,28
18,30,28,21
18,30,21,27
18,30,27,22
18,30,22,26
18,30,26,23
18,30,23,25
19,31,20,30
19,31,30,21
19,31,21,29
19,31,29,22
19,31,22,28
19,31,28,23
19,31,23,27
19,31,27,24
19,31,24,26
20,32,21,31
20,32,31,22
20,32,22,30
20,32,30,23
20,32,23,29
20,32,29,24
20,32,24,28
20,32,28,25
20,32,25,27
21,33,22,32
21,33,32,23
21,33,23,31
21,33,31,24
21,33,24,30
21,33,30,25
21,33,25,29
21,33,29,26
21,33,26,28
22,34,23,33
22,34,33,24
22,34,24,32
22,34,32,25
22,34,25,31
22,34,31,26
22,34,26,30
22,34,30,27
22,34,27,29
23,35,24,34
23,35,34,25
23,35,25,33
23,35,33,26
23,35,26,32
23,35,32,27
23,35,27,31
23,35,31,28
23,35,28,30
24,36,25,35
24,36,35,26
24,36,26,34
24,36,34,27
24,36,27,33
24,36,33,28
24,36,28,32
24,36,32,29
24,36,29,31
25,37,26,36
25,37,36,27
25,37,27,35
25,37,35,28
25,37,28,34
25,37,34,29
25,37,29,33
25,37,33,30
25,37,30,32
26,38,27,37
26,38,37,28
26,38,28,36
26,38,36,29
26,38,29,35
26,38,35,30
26,38,30,34
26,38,34,31
26,38,31,33
27,39,28,38
27,39,38,29
27,39,29,37
27,39,37,30
27,39,30,36
27,39,36,31
27,39,31,35
27,39,35,32
27,39,32,34
28,40,29,39
28,40,39,30
28,40,30,38
28,40,38,31
28,40,31,37
28,40,37,32
28,40,32,36
28,40,36,33
28,40,33,35
29,41,30,40
29,41,40,31
29,41,31,39
29,41,39,32
29,41,32,38
29,41,38,33
29,41,33,37
29,41,37,34
29,41,34,36
30,42,31,41
30,42,41,32
30,42,32,40
30,42,40,33
30,42,33,39
30,42,39,34
30,42,34,38
30,42,38,35
30,42,35,37
31,43,32,42
31,43,42,33
31,43,33,41
31,43,41,34
31,43,34,40
31,43,40,35
31,43,35,39
31,43,39,36
31,43,36,38
32,44,33,43
32,44,43,34
32,44,34,42
32,44,42,35
32,44,35,41
32,44,41,36
32,44,36,40
32,44,40,37
32,44,37,39
33,45,34,44
33,45,44,35
33,45,35,43
33,45,43,36
33,45,36,42
33,45,42,37
33,45,37,41
33,45,41,38
33,45,38,40
34,46,35,45
34,46,45,36
34,46,36,44
34,46,44,37
34,46,37,43
34,46,43,38
34,46,38,42
34,46,42,39
34,46,39,41
35,47,36,46
35,47,46,37
35,47,37,45
35,47,45,38
35,47,38,44
35,47,44,39
35,47,39,43
35,47,43,40
35,47,40,42
36,48,37,47
36,48,47,38
36,48,38,46
36,48,46,39
36,48,39,45
36,48,45,40
36,48,40,44
36,48,44,41
36,48,41,43
37,49,38,48
37,49,48,39
37,49,39,47
37,49,47,40
37,49,40,46
37,49,46,41
37,49,41,45
37,49,45,42
37,49,42,44
38,50,39,49
38,50,49,40
38,50,40,48
38,50,48,41
38,50,41,47
38,50,47,42
38,50,42,46
