A,B,M,N
14,15,23,24
14,15,24,25
14,15,25,26
14,15,13,12
14,15,12,11
14,15,11,10
14,15,10,9
14,15,9,8
14,15,8,7
14,15,7,6
14,15,6,5
14,15,5,4
14,15,4,3
3,5,7,9
3,5,9,11
3,5,11,13
3,5,13,15
3,5,15,17
3,5,17,19
3,5,19,21
3,5,21,23
3,5,23,25
3,5,25,27
25,27,29,31
25,27,31,33
25,27,33,35
25,27,35,37
25,27,37,39
25,27,39,41
25,27,41,43
25,27,43,45
25,27,45,47
25,27,47,49
25,27,23,21
25,27,21,19
25,27,19,17
25,27,17,15
25,27,15,13
25,27,13,11
25,27,11,9
25,27,9,7
25,27,7,5
25,27,5,3
3,6,4,5
3,6,5,9
3,6,9,12
3,6,12,15
3,6,15,18
3,6,18,21
3,6,21,24
3,6,24,27
3,6,27,30
3,6,30,33
30,33,31,32
30,33,32,36
30,33,36,39
30,33,39,42
30,33,42,45
30,33,45,48
30,33,48,51
30,33,51,54
30,33,54,57
30,33,57,60
30,33,32,31
30,33,31,27
30,33,27,24
30,33,24,21
30,33,21,18
30,33,18,15
30,33,15,12
30,33,12,9
30,33,9,6
30,33,6,3
3,7,4,6
3,7,6,11
3,7,11,15
3,7,15,19
3,7,19,23
3,7,23,27
3,7,27,31
3,7,31,35
3,7,35,39
3,7,39,43
39,43,42,40
39,43,40,35
39,43,35,31
39,43,31,27
39,43,27,23
39,43,23,19
39,43,19,15
39,43,15,11
39,43,11,7
39,43,7,3
3,8,4,7
3,8,7,13
3,8,13,18
3,8,18,23
3,8,23,28
3,8,28,33
3,8,33,38
3,8,38,43
3,8,43,48
3,8,48,53
48,53,52,49
48,53,49,43
48,53,43,38
48,53,38,33
48,53,33,28
48,53,28,23
48,53,23,18
48,53,18,13
48,53,13,8
48,53,8,3
3,9,4,8
3,9,8,15
3,9,15,21
3,9,21,27
3,9,27,33
3,9,33,39
3,9,39,45
3,9,45,51
3,9,51,57
3,9,57,63
57,63,62,58
57,63,58,51
57,63,51,45
57,63,45,39
57,63,39,33
57,63,33,27
57,63,27,21
57,63,21,15
57,63,15,9
57,63,9,3
3,39,5,37
3,39,37,7
3,39,7,35
3,39,35,9
3,39,9,33
3,39,33,11
3,39,11,31
3,39,31,13
3,39,13,29
3,39,29,15
3,41,5,39
3,41,39,7
3,41,7,37
3,41,37,9
3,41,9,35
3,41,35,11
3,41,11,33
3,41,33,13
3,41,13,31
3,41,31,15
3,43,6,40
3,43,40,9
3,43,9,37
3,43,37,12
3,43,12,34
3,43,34,15
3,43,15,31
3,43,31,18
3,43,18,28
3,43,28,21
3,45,6,42
3,45,42,9
3,45,9,39
3,45,39,12
3,45,12,36
3,45,36,15
3,45,15,33
3,45,33,18
3,45,18,30
3,45,30,21
3,47,6,44
3,47,44,9
3,47,9,41
3,47,41,12
3,47,12,38
3,47,38,15
3,47,15,35
3,47,35,18
3,47,18,32
3,47,32,21
3,49,6,46
3,49,46,9
3,49,9,43
3,49,43,12
3,49,12,40
3,49,40,15
3,49,15,37
3,49,37,18
3,49,18,34
3,49,34,21
3,51,6,48
3,51,48,9
3,51,9,45
3,51,45,12
3,51,12,42
3,51,42,15
3,51,15,39
3,51,39,18
3,51,18,36
3,51,36,21
3,53,6,50
3,53,50,9
3,53,9,47
3,53,47,12
3,53,12,44
3,53,44,15
3,53,15,41
3,53,41,18
3,53,18,38
3,53,38,21
3,55,6,52
3,55,52,9
3,55,9,49
3,55,49,12
3,55,12,46
3,55,46,15
3,55,15,43
3,55,43,18
3,55,18,40
3,55,40,21
3,57,6,54
3,57,54,9
3,57,9,51
3,57,51,12
3,57,12,48
3,57,48,15
3,57,15,45
3,57,45,18
3,57,18,42
3,57,42,21
3,59,7,55
3,59,55,11
3,59,11,51
3,59,51,15
3,59,15,47
3,59,47,19
3,59,19,43
3,59,43,23
3,59,23,39
3,59,39,27
3,61,7,57
3,61,57,11
3,61,11,53
3,61,53,15
3,61,15,49
3,61,49,19
3,61,19,45
3,61,45,23
3,61,23,41
3,61,41,27
3,63,7,59
3,63,59,11
3,63,11,55
3,63,55,15
3,63,15,51
3,63,51,19
3,63,19,47
3,63,47,23
3,63,23,43
3,63,43,27
3,65,7,61
3,65,61,11
3,65,11,57
3,65,57,15
3,65,15,53
3,65,53,19
3,65,19,49
3,65,49,23
3,65,23,45
3,65,45,27
3,67,7,63
3,67,63,11
3,67,11,59
3,67,59,15
3,67,15,55
3,67,55,19
3,67,19,51
3,67,51,23
3,67,23,47
3,67,47,27
3,69,7,65
3,69,65,11
3,69,11,61
3,69,61,15
3,69,15,57
3,69,57,19
3,69,19,53
